key_id,council,adress,full_adress,name,description,preservation_date,remark,lat_raw,lon_raw,lat_tidy,lon_tidy,lat_tidy_num,lon_tidy_num
1,Assens Kommune ,Alléen 5,Assens Kommune Alléen 5, Løgismose," Hovedbygningen (nordøstre fløj beg, af 1500-tallet; nordvestre fløj 1575, ombygget1631 og 1644; trappetårn og sydvestre fløj 1883)",1918,*,551869208,100830105,55.1869208,10.0830105,55.1869208,10.0830105
2,Assens Kommune ,Billeskovvej 9,Assens Kommune Billeskovvej 9, Billeskov, Hovedbygningen (1796) med det i haven liggende voldsted (1577),1932,,553477195,99511761,55.3477195,9.9511761,55.3477195,9.9511761
3,Assens Kommune ,Brahesborgvej 29,Assens Kommune Brahesborgvej 29, Toftlund," Det fritliggende stuehus (1852-55, ombygget sidst i 1800-tallet), den fritliggende bindingsværksbygning (1700-tallet), den brostensbelagte gårdsplads og kastaniealléen vedindkørslen",1996,* Delvis ophævet 2016,552798544,99380187,55.2798544,9.9380187,55.2798544,9.9380187
4,Assens Kommune ,Brydegaardsvej 10,Assens Kommune Brydegaardsvej 10, Brydegård," Stuehuset, stenhuset (ca 1800), portbygningen og de to udhusbygninger(ca 1890) samt smedien (ca 1850)",1992,,552078984,99964392,55.2078984,9.9964392,55.2078984,9.9964392
5,Assens Kommune ,Byvejen 11,Assens Kommune Byvejen 11, Tjenergården," Det firelængede anlæg bestående af et fritliggende stuehus (1821), tre sammenbyggede stald- og ladebygninger og hesteomgangsbygningen på østlængen (1930) samtbrolægningen på gårdspladsen",1991,*,552626875,101186532,55.2626875,10.1186532,55.2626875,10.1186532
6,Assens Kommune ,Damgade 1,Assens Kommune Damgade 1, Damgade 1, De to bindingsværkshuse mod Ladegårdsgade (tidl Ladegårdsgade 2 og 4),1954,*,552706261,98930374,55.2706261,9.8930374,55.2706261,9.8930374
7,Assens Kommune ,Dreslettevej 5,Assens Kommune Dreslettevej 5, Dreslettevej 5," Det firelængede gårdanlæg (1795, stuehuset forlænget 1847), tilbygningenpå vestlængen (1910) og den brolagte gårdsplads",1990,,552213340,100389871,55.2213340,10.0389871,55.221334,10.0389871
8,Assens Kommune ,Ege Allé 5,Assens Kommune Ege Allé 5, Kobbelhuset, Det tidligere porthus,1973,*,552219163,100045734,55.2219163,10.0045734,55.2219163,10.0045734
9,Assens Kommune ,Erholmvej 25,Assens Kommune Erholmvej 25, Erholm, Hovedbygningen og de to sammenbyggede fløje om gårdpladsen (1851-54 af J DHerholdt),1964,*,553960620,100489120,55.3960620,10.048912,55.396062,10.048912
10,Assens Kommune ,Fåborgvej 108,Assens Kommune Fåborgvej 108, Fåborgvej 108," Det trelængede bygningsanlæg (1780-90) i bindingsværk og stråtag bestående af det tifags fritliggende stuehus og de to symmetrisk beliggende udlænger, begge i fem fag, den ene med udskud og den anden forbundet med stuehuset ved en bindingsværksmur forsynet med enrevledør - tillige med den brostensbelagte gårdsplads indrammet af bebyggelsen",1994,,552504980,99538790,55.2504980,9.953879,55.250498,9.953879
11,Assens Kommune ,Helnæs Byvej 3,Assens Kommune Helnæs Byvej 3, Bogården," Den firelængede gård (stuehuset 1787, udlængerne 1880'erne)",1982,*,551682522,99863179,55.1682522,9.9863179,55.1682522,9.9863179
12,Assens Kommune ,Helnæsvej 1,Assens Kommune Helnæsvej 1, Flenstofte, Den trefløjede hovedbygning med foranstående borner (1748 og ca 1790),1932,*,552136092,99977488,55.2136092,9.9977488,55.2136092,9.9977488
13,Assens Kommune ,Hårbyvej 2,Assens Kommune Hårbyvej 2, Hårbyvej 2," Det sammenbyggede, firelængede gårdanlæg (stuehuset ca 1775, ombygget med 17 fag ca 1800, østlængen med suler ca 1700, sydlængen ca 1700 og ombygget med grundmur i1908 og vestlængen ca 1800 delvis i grundmur 1880) samt den brolagte gårdsplads",1991,,552398754,100698387,55.2398754,10.0698387,55.2398754,10.0698387
14,Assens Kommune ,Jørgen Brahesvej 1,Assens Kommune Jørgen Brahesvej 1, Brahesborg," Hovedbygning (1638-56, ombygget 1756)",1918, Hængebroen(1850) med fundamenter i granitkvadre og jordfæster i støbejern   1998*,552803873,99517197,55.2803873,9.9517197,55.2803873,9.9517197
15,Assens Kommune ,Kertevej 56,Assens Kommune Kertevej 56, Kerte Præstegård," Stuehuset (1914-15 af Hjalmar Kjær), østlængen (sulebygning ca 1650)og vestlængen (1876)",1979,,553638981,99896413,55.3638981,9.9896413,55.3638981,9.9896413
16,Assens Kommune ,Kirke Søbyvej 73,Assens Kommune Kirke Søbyvej 73, Kirke Søby gamle Degnebolig, Det enetages bindingsværkshus (1790'erne),1979,*,552624754,100255893,55.2624754,10.0255893,55.2624754,10.0255893
17,Assens Kommune ,Klaregade 22,Assens Kommune Klaregade 22, Damgård," Den firelængede gård (stuehus ca 1800, længerne slutningen af 1800-tallet)med brolagt gårdsplads",1989,*,552570214,101326445,55.2570214,10.1326445,55.2570214,10.1326445
18,Assens Kommune ,Klaregade 23,Assens Kommune Klaregade 23," Vestfynsk Hjemstavnsgård, Landmålergården"," Det firelængede gårdanlæg (nord- og østlængen ca 1750, vestlænge begyndelsen af 1800-tallet, sydlænge 1826), den vinkelformedeudlænge (1700- 1900-tallet) og den tilflyttede smedie (1746) og urmagerhuset (1776)",1950,*,552571508,101330525,55.2571508,10.1330525,55.2571508,10.1330525
19,Assens Kommune ,Klaregade 25,Assens Kommune Klaregade 25, Risagergård, Bindingsværksstuehuset (slutningen af 1700-tallet),1989,,552566656,101331168,55.2566656,10.1331168,55.2566656,10.1331168
